energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,STD_of_brown_energy_used,AVERAGE_of_green_energy_used,STD_of_green_energy_used,AVERAGE_of_makespan,STD_of_makespan,AVERAGE_of_workflow_stretch,STD_of_workflow_stretch
trace-1,uniform,bwa,0.000000,8,none,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,right-left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,right-left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,right-left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,right-left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,2,left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,2,left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,2,left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,2,left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,2,none,energy,0.000000,0.000000,112764.374313,26661.603569,14162.700000,796.140000,13211.400000,1002.797997
trace-1,uniform,bwa,0.500000,2,none,power,0.000000,0.000000,112764.374313,26661.603569,12135.300000,1771.558012,11520.600000,1938.783937
trace-1,uniform,bwa,0.500000,2,none,runtime,0.000000,0.000000,112764.374313,26661.603569,14071.500000,795.388689,13125.600000,963.279376
trace-1,uniform,bwa,0.500000,2,none,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,11075.700000,794.219260,11074.700000,794.219260
