experiment,workflow,energy_trace,shift_mode,c_value,deadline_factor,deadline,task_ordering,scheduling_hash,power_distribution,min_makespan,makespan,workflow_stretch,brown_energy_used,green_energy_used,total_energy,green_energy_not_used,max_active_tasks,active_tasks_mean,active_tasks_std,number_of_tasks,scheduling_violations
J9_E122,soykb,trace-1,left,0.5,8,181584,power,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E123,soykb,trace-1,left,0.5,8,181584,runtime,-2671443963308550282,uniform,22698,172330,172330,1.6220038645542445e-07,2820948.039151842,2820948.039152004,6513791051.96085,208,53.44750430292599,60.853343831190614,993,0
J9_E124,soykb,trace-1,left,0.5,8,181584,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E125,soykb,trace-1,left,0.8,8,181584,energy,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E126,soykb,trace-1,left,0.8,8,181584,power,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E127,soykb,trace-1,left,0.8,8,181584,runtime,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E128,soykb,trace-1,left,0.8,8,181584,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E129,soykb,trace-1,right-left,0,1,22698,energy,-5911158560968955332,uniform,22698,21378,21378,6.185689294113672e-07,2820948.0391532,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E130,soykb,trace-1,right-left,0,1,22698,power,-5911158560968955332,uniform,22698,21378,21378,3.8822518533265793e-07,2820948.039151629,2820948.0391520173,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E131,soykb,trace-1,right-left,0,1,22698,runtime,-5911158560968955332,uniform,22698,21378,21378,4.957189325693889e-07,2820948.039153321,2820948.039153817,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
