energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,AVERAGE_of_green_energy_used,AVERAGE_of_makespan,AVERAGE_of_workflow_stretch
trace-1,gaussian,bwa,0.8,2,left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,2,left,power,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,2,left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,2,left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,2,none,energy,0.0000000323,2186911.84686843,36366.4,36366.4
trace-1,gaussian,bwa,0.8,2,none,power,0.0000000322,2186911.84686843,34467.6,34467.6
trace-1,gaussian,bwa,0.8,2,none,runtime,0.0000000323,2186911.84686843,37889,37889
trace-1,gaussian,bwa,0.8,2,none,runtime_ascending,0.0000000323,2186911.84686843,35177,35177
trace-1,gaussian,bwa,0.8,2,right-left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,2,right-left,power,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,2,right-left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,2,right-left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,4,left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,4,left,power,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,4,left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,4,left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,4,none,energy,0.0000000323,2186911.84686843,81928,81928
trace-1,gaussian,bwa,0.8,4,none,power,945285.067255276,1241626.77961318,81385.6,81385.6
trace-1,gaussian,bwa,0.8,4,none,runtime,0.0000000323,2186911.84686843,88513,88513
trace-1,gaussian,bwa,0.8,4,none,runtime_ascending,2121342.41205083,65569.4348176278,88513,88513
trace-1,gaussian,bwa,0.8,4,right-left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,4,right-left,power,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,4,right-left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,4,right-left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,8,left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,8,left,power,0.000000032,2186911.84686843,29638.1,29638.1
trace-1,gaussian,bwa,0.8,8,left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,8,left,runtime_ascending,0.000000008,2186911.84686846,69713,69713
trace-1,gaussian,bwa,0.8,8,none,energy,0.0000000323,2186911.84686843,109793.8,109793.8
trace-1,gaussian,bwa,0.8,8,none,power,0.000000032,2186911.84686843,103624.7,103624.7
trace-1,gaussian,bwa,0.8,8,none,runtime,0.0000000323,2186911.84686843,119475,119475
trace-1,gaussian,bwa,0.8,8,none,runtime_ascending,0.000000008,2186911.84686845,116763,116763
trace-1,gaussian,bwa,0.8,8,right-left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,8,right-left,power,0.000000032,2186911.84686843,29638.1,29638.1
trace-1,gaussian,bwa,0.8,8,right-left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.8,8,right-left,runtime_ascending,0.000000008,2186911.84686846,69713,69713
trace-1,gaussian,cycles,0,2,left,energy,25074.56217439,2693283.61560996,20550,20550
trace-1,gaussian,cycles,0,2,left,power,24782.7280351184,2693575.4497496,20580,20580
trace-1,gaussian,cycles,0,2,left,runtime,26379.6685447806,2691978.50923994,20550,20550
trace-1,gaussian,cycles,0,2,left,runtime_ascending,41090.2903571231,2677267.88742741,20550,20550
trace-1,gaussian,cycles,0,2,none,energy,27694.2167482986,2690663.96103587,20550,20550
trace-1,gaussian,cycles,0,2,none,power,60250.6962395444,2658107.48154288,20580,20580
trace-1,gaussian,cycles,0,2,none,runtime,29457.526496314,2688900.6512884,20550,20550
trace-1,gaussian,cycles,0,2,none,runtime_ascending,92056.5681141162,2626301.60967051,20550,20550
trace-1,gaussian,cycles,0,2,right-left,energy,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,2,right-left,power,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,2,right-left,runtime,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,2,right-left,runtime_ascending,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,4,left,energy,25074.56217439,2693283.61560996,20550,20550
trace-1,gaussian,cycles,0,4,left,power,24782.7280351184,2693575.4497496,20580,20580
